gmd_name,party_name,these_id,these_politikfeld,polarity,these_title,statement,valuation,explanation
Duisburg,FDP,bridge_03,"BETEILIGUNG, DEMOKRATIE & GLEICHSTELLUNG",0.5,Direkt-Demokratie,In {location} sollen mehr Entscheidungen direkt durch die Bürgerinnen und Bürger getroffen werden.,50,"Der 102köpfige Stadtrat, die 119 Bezirksvertreter und die zahlreichen Mitglieder in Ausschüssen und Beiräten sind von großen Mehrheiten der Duisburger Bevölkerung gewählt worden als ihre jeweiligen legitimierten Vertreter. Alle Parteien stehen den Bürgerinnen und Bürgern offen gegenüber und stehen immer für Gespräche mit Einwohnern, Verbänden und Vereinen bereit. Dadurch ist die Entscheidungsbefugnis gegeben."
Duisburg,BSW,bridge_03,"BETEILIGUNG, DEMOKRATIE & GLEICHSTELLUNG",0.5,Direkt-Demokratie,In {location} sollen mehr Entscheidungen direkt durch die Bürgerinnen und Bürger getroffen werden.,100,Direkte Bürgerbeteiligung führt zu mehr Transparenz und weniger Hinterzimmer-Politik.
Duisburg,DIE LINKE,bridge_03,"BETEILIGUNG, DEMOKRATIE & GLEICHSTELLUNG",0.5,Direkt-Demokratie,In {location} sollen mehr Entscheidungen direkt durch die Bürgerinnen und Bürger getroffen werden.,100,Die Linke Duisburg fordert deutlich mehr Bürgerbeteiligung. Dies soll durch bürgerschaftliche Beiräte durchgesetzt werden. Weiterhin sollen Bürgerentscheidungen nicht einfach so vom Rat der Stadt übergangen werden dürfen.
Duisburg,GRÜNE,bridge_03,"BETEILIGUNG, DEMOKRATIE & GLEICHSTELLUNG",0.5,Direkt-Demokratie,In {location} sollen mehr Entscheidungen direkt durch die Bürgerinnen und Bürger getroffen werden.,50,"Wir GRÜNE stehen für eine lebendige Demokratie, in der Beteiligung mehr ist als ein Kreuz alle fünf Jahre. Direkte Mitbestimmung kann dafür ein wichtiger Baustein sein – zum Beispiel über Beteiligungsbudgets, Bürgerräte oder digitale Beteiligungsplattformen. Entscheidend ist für uns: Beteiligung muss fair, zugänglich und wirkungsvoll sein – ob direkt oder repräsentativ. Wir setzen uns dafür ein, beides sinnvoll zu verbinden."
Duisburg,SPD,bridge_03,"BETEILIGUNG, DEMOKRATIE & GLEICHSTELLUNG",0.5,Direkt-Demokratie,In {location} sollen mehr Entscheidungen direkt durch die Bürgerinnen und Bürger getroffen werden.,50,Die Beteiligungsmöglichkeiten die sich schon bisher aus der Kommunalverfassung und der städtischen Praxis ergeben sollen fortgeführt werden.
Duisburg,VOLT,bridge_03,"BETEILIGUNG, DEMOKRATIE & GLEICHSTELLUNG",0.5,Direkt-Demokratie,In {location} sollen mehr Entscheidungen direkt durch die Bürgerinnen und Bürger getroffen werden.,100,"Mehr Bürgerbeteiligung fördert Transparenz und Akzeptanz politischer Entscheidungen. Volt will Bürgerbefragungen, -entscheide und digitale Beteiligungsplattformen stärken, um innovative Lösungen und mehr Teilhabe zu ermöglichen. Barrieren sollen abgebaut werden, etwa durch Kinderbetreuung bei Beteiligungsformaten, damit auch Erziehende und weitere Gruppen aktiv mitwirken können."
Duisburg,CDU,bridge_03,"BETEILIGUNG, DEMOKRATIE & GLEICHSTELLUNG",0.5,Direkt-Demokratie,In {location} sollen mehr Entscheidungen direkt durch die Bürgerinnen und Bürger getroffen werden.,25,
Duisburg,AfD,bridge_03,"BETEILIGUNG, DEMOKRATIE & GLEICHSTELLUNG",0.5,Direkt-Demokratie,In {location} sollen mehr Entscheidungen direkt durch die Bürgerinnen und Bürger getroffen werden.,100,In unserem Konzept „Starke Kommunen“ auf Landesebene fordern wir intensiv die Erweiterung kommunaler Bürgerentscheide (sowohl Ratsbürgerentscheide als auch Bürgerbegehren) und verlangen weniger bürokratische Hürden dafür.
Oberhausen,Die PARTEI,bridge_03,"BETEILIGUNG, DEMOKRATIE & GLEICHSTELLUNG",0.5,Direkt-Demokratie,In {location} sollen mehr Entscheidungen direkt durch die Bürgerinnen und Bürger getroffen werden.,100,"JAWOLL! Wir führen ab sofort Ratsentscheidungen per Instagram-Umfragen durch – mit Emojis, Filtern und maximaler Bürgernähe! Oder Politikentscheidungen direkt per App! Swipe rechts = Gefällt mir, Swipe links = Kackvorschlag kann weg!"
Oberhausen,CDU,bridge_03,"BETEILIGUNG, DEMOKRATIE & GLEICHSTELLUNG",0.5,Direkt-Demokratie,In {location} sollen mehr Entscheidungen direkt durch die Bürgerinnen und Bürger getroffen werden.,25,"Die CDU Oberhausen befürwortet direkte Bürgerbeteiligung, etwa durch den Bürgerrat, Umfragen, Abstimmungen und Dialogformate. Sie setzt auf Transparenz und Mitwirkung, ohne dabei Entscheidungsprozesse vollständig aus der repräsentativen Demokratie herauszulösen. Direkte Demokratie wird als Ergänzung verstanden, nicht als Ersatz."
